"Cuenta";"Nombre_cuenta";"Ramo";"2016-01-31";"2016-02-29";"2016-03-31";"2016-04-30";"2016-05-31";"2016-06-30";"2016-07-31";"2016-08-31";"2016-09-30";"2016-10-31";"2016-11-30";"2016-12-31";"2017-01-31";"2017-02-28";"2017-03-31";"2017-04-30";"2017-05-31";"2017-06-30";"2017-07-31";"2017-08-31";"2017-09-30";"2017-10-31";"2017-11-30";"2017-12-31";"2018-01-31"
"29019701030";"CANC Y-O ANULAC PRIMAS REASEG ACEP";"Ramos_SS";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29019801020";"ACEPTADAS REASEGURO INTERIOR";"Ramos_Vida_sinSS";20678514309;43349762040;68780384009;97878864154;121691833687;148310680226;172179898826;197113230627;223934125999;250487971269;277910870918;306392140605;26352896912;50117421664;80100372408;107983065100;137043710312;165260394421;192732988977;223371418484;255925989456;288008776458;319093915089;349581768831;25203037189
"29019801025";"ACEPTADAS REASEGURO EXTERIOR";"Ramos_Vida_sinSS";300928206.33;587389365.08;934503982.7;1271869081.11;1648504499.46;2120155113.92;2630822566.93;3095477687.4;3621664349.75;4183035816.99;4767701706.69;5311991433.67;471186225.02;1674976637.38;2579213242.96;3510135518.86;4499428186.32;5620383905.99;6631838393.28;7659100846.07;8714639220.12;9860317294.17;10978495838.7;12090594277.39;1175103045.35
"29019801030";"CANC Y-O ANULAC PRIMAS REASEG ACEP";"Ramos_Vida_sinSS";-1992112136.57;-4410901747.05;-7066055383.31;-9757770933.42;-12745992870.28;-15008714547.49;-17356809205.23;-19606377284.6;-22925301769.65;-25808168518.15;-28720922849.25;-31231991863;-2423683720.92;-4114466780;-8102934005.77;-11079200377.21;-13675040656.46;-19375764131.94;-23549671861.2;-28029486860.35;-32054083589.86;-36009656190.72;-40757324997.43;-43884767851.2;-3476817558.28
"29099903075";"Prima Aceptada en Reaseguro";"TOTAL";21827231912.65;45364205831.24;70631278240.75;97871068749.41;124774782436.34;152573910179.17;177389992133.41;203950808236.61;230753231974.03;257829582225.07;286139003612.71;315549078066.79;27838223827.24;54162168358;84420712454.41;113706282174.55;144780640548.72;171341833470.98;198382107629.47;229423300165.26;262798810142.43;295271874917.2;325591721608.91;357758331256.68;26183838805.56
"29099903075";"Prima Aceptada en Reaseguro";"SUBTOTAL - RAMOS";21827231912.65;45364205831.24;70631278240.75;97871068749.41;124774782436.34;152573910179.17;177389992133.41;203950808236.61;230753231974.03;257829582225.07;286139003612.71;315549078066.79;27838223827.24;54162168358;84420712454.41;113706282174.55;144780640548.72;171341833470.98;198382107629.47;229423300165.26;262798810142.43;295271874917.2;325591721608.91;357758331256.68;26183838805.56
"29099903075";"Prima Aceptada en Reaseguro";"AUTOMOVILES";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29099903075";"Prima Aceptada en Reaseguro";"SOAT";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29099903075";"Prima Aceptada en Reaseguro";"CUMPLIMIENTO";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29099903075";"Prima Aceptada en Reaseguro";"RESPONSABILIDAD CIVIL";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29099903075";"Prima Aceptada en Reaseguro";"INCENDIO";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29099903075";"Prima Aceptada en Reaseguro";"TERREMOTO";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29099903075";"Prima Aceptada en Reaseguro";"SUSTRACCION";2839901533.89;5837956173.21;7982445632.36;8478106447.72;14180437120.16;17151789386.74;19936079945.71;23348477206.81;26122743394.93;28966743657.23;32181353837.27;35076937891.12;3437824411.14;6484236836.62;9844060809.22;13292281932.9;16912542706.86;19836819275.93;22566952120.39;26422267695.54;30212265056.17;33412437355.75;36276635678.64;39970735999.49;3282516129.49
"29099903075";"Prima Aceptada en Reaseguro";"TRANSPORTE";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29099903075";"Prima Aceptada en Reaseguro";"CORRIENTE DÉBIL";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29099903075";"Prima Aceptada en Reaseguro";"TODO RIESGO CONTRATISTA";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29099903075";"Prima Aceptada en Reaseguro";"MANEJO";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
